gene_symbol,Pum1
mouse_strain,C57BL
parameter_id,IMPC_ABR_012_001
parameter_name,30kHz-evoked ABR Threshold
pvalue,0.5738397
mouse_life_stage,Early adult
gene_accession_id,MGI:1931749
analysis_id,8231cw7kf0h99dg
