analysis_id,4hn008236q6mu9u
gene_accession_id,MGI:1915325
parameter_name,Neutrophil cell count
mouse_strain,C57BL
parameter_id,IMPC_HEM_030_001
mouse_life_stage,Early adult
pvalue,0.8793378
gene_symbol,Lurap1
