parameter_name,Fat/Body weight
mouse_strain,C57BL
parameter_id,JAXLA_DXA_009_001
mouse_life_stage,Early adult
analysis_id,4go7851su3ti0q7
gene_accession_id,MGI:894679
gene_symbol,Bach2
pvalue,0.7352482
