gene_symbol,Sema6c
analysis_id,038046hx56qbxd8
pvalue,0.2011656
gene_accession_id,MGI:1338032
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_MLN_021_001
parameter_name,KLRG1+ gd T cells - % of gd T cells
