analysis_id,7yfonb13k5u0e6b
parameter_id,IMPC_HEM_027_001
gene_accession_id,MGI:1918345
parameter_name,Red blood cell distribution width
mouse_life_stage,Early adult
pvalue,0.3182936
gene_symbol,Kif24
mouse_strain,C57BL
