parameter_name,LVIDd
gene_symbol,Frmpd1
pvalue,0.9646587
mouse_life_stage,Late adult
gene_accession_id,MGI:2446274
parameter_id,IMPC_ECH_008_001
mouse_strain,C57BL
analysis_id,3u666kmx11192lc
