gene_symbol,Zc2hc1a
mouse_strain,C57BL
pvalue,0.7776809
parameter_name,Body Weight
analysis_id,wj12h2e79m49420
parameter_id,M-G-P_012_001_005
mouse_life_stage,Early adult
gene_accession_id,MGI:1914556
