gene_symbol,Npbwr1
pvalue,0.4914957
mouse_life_stage,Early adult
parameter_name,Mean corpuscular hemoglobin
parameter_id,IMPC_HEM_006_001
analysis_id,xt6zg2in21vdq3k
gene_accession_id,MGI:891989
mouse_strain,C57BL
