gene_symbol,Orc2
parameter_name,Eosinophil cell count
pvalue,0.7260291
analysis_id,7667bnj98rg6b14
mouse_life_stage,E9.5
gene_accession_id,MGI:1328306
parameter_id,IMPC_HEM_036_001
mouse_strain,C57BL
