gene_symbol,Clvs1
analysis_id,w8p90rvs9021t78
parameter_id,MGP_IMM_100_001
pvalue,0.6231685
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
parameter_name,Resting NK cells - % of CD45+
