analysis_id,z9840hg67489p57
mouse_strain,C57BL
gene_accession_id,MGI:1915472
pvalue,0.651018
parameter_name,BMC/Body weight
mouse_life_stage,Early adult
parameter_id,HRWLLA_DXA_007_001
gene_symbol,Tubb4b
