parameter_id,IMPC_IMM_025_001
parameter_name,DN CD25- NKT cells
mouse_strain,C57BL
gene_symbol,Ints7
pvalue,0.7152112
mouse_life_stage,E9.5
analysis_id,y08r80o6474073k
gene_accession_id,MGI:1924315
