analysis_id,3lt5ka8zu26ppi6
parameter_id,ESLIM_016_001_002
parameter_name,Red blood cell count
pvalue,0.2550892
gene_accession_id,MGI:1345282
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Slc30a4
