parameter_name,Periphery distance travelled
gene_symbol,Ntmt2
gene_accession_id,MGI:2685053
pvalue,0.5799953
mouse_life_stage,Early adult
parameter_id,JAX_OFD_010_001
mouse_strain,C57BL
analysis_id,z805372v8jw51ef
