gene_symbol,Cdin1
parameter_id,ESLIM_011_001_702
gene_accession_id,MGI:3026886
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Prepulse inhibition - PP2
analysis_id,2y9x063135509j2
pvalue,0.2148957
