parameter_name,LDL-cholesterol
gene_symbol,Dnaaf9
analysis_id,3f3171qpt9r4vkw
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_025_001
mouse_strain,C57BL
pvalue,0.5379537
gene_accession_id,MGI:1923029
