analysis_id,509ef4c4p5ei7h5
pvalue,0.1345655
mouse_strain,C57BL
parameter_name,Mean-corpuscular-haemoglobin
parameter_id,M-G-P_016_001_006
gene_accession_id,MGI:2140475
gene_symbol,AU040320
mouse_life_stage,Late adult
