analysis_id,nxfwg9gn008qcuv
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength measurement mean
gene_symbol,Atg4c
pvalue,0.3526099
parameter_id,IMPC_GRS_009_001
gene_accession_id,MGI:2651854
mouse_strain,C57BL
