analysis_id,13o7kh901790s39
mouse_strain,C57BL
parameter_id,MGP_IMM_100_001
mouse_life_stage,Early adult
pvalue,0.7879818
gene_symbol,Slc28a2
parameter_name,Resting NK cells - % of CD45+
gene_accession_id,MGI:1913105
