analysis_id,kh1t6svm0b93dku
parameter_id,IMPC_HEM_039_001
gene_symbol,Trp53i11
gene_accession_id,MGI:2670995
mouse_life_stage,Early adult
parameter_name,Large Unstained Cell (LUC) count
pvalue,0.672718
mouse_strain,C57BL
