parameter_name,LVIDd
pvalue,0.1972104
analysis_id,3841tf4z4myj53y
gene_accession_id,MGI:1914561
gene_symbol,Nanp
mouse_life_stage,E18.5
parameter_id,IMPC_ECH_008_001
mouse_strain,C57BL
