mouse_strain,129SV
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
gene_symbol,Bpifa3
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,IMPC_GRS_011_001
analysis_id,0651h462g573lt2
pvalue,0.8110069
