analysis_id,gk3sw7g36nz1c4d
gene_symbol,Dnajc8
pvalue,0.6014202
mouse_strain,C57BL
parameter_id,ESLIM_004_001_701
gene_accession_id,MGI:1915848
parameter_name,Glucose response AUC
mouse_life_stage,Early adult
