gene_symbol,Ninl
parameter_id,MGP_IMM_129_001
gene_accession_id,MGI:1925427
pvalue,0.3736581
mouse_strain,C57BL
parameter_name,CD11b-high cDC - % of CD45+
analysis_id,6a5ppabrow75474
mouse_life_stage,Early adult
