parameter_name,Alkaline phosphatase
pvalue,0.9227922
mouse_life_stage,Early adult
gene_accession_id,MGI:1346088
gene_symbol,Cd52
mouse_strain,C57BL
parameter_id,HRWLLA_CBC_014_001
analysis_id,a3exc6r21f9is6n
