parameter_id,IMPC_GPP_004_001
parameter_name,Placenta Size
analysis_id,2gulxo6wvv8w0g7
pvalue,0.3083083
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
mouse_life_stage,Early adult
mouse_strain,C57BL
