analysis_id,0w9f07hjp786588
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:1913483
pvalue,0.8107009
parameter_name,Shape of ribcage
parameter_id,IMPC_XRY_059_001
gene_symbol,Dmap1
