gene_symbol,Bcs1l
mouse_life_stage,Early adult
analysis_id,17s6mza2x53u7zg
gene_accession_id,MGI:1914071
parameter_name,Embryo turning
parameter_id,IMPC_GEL_011_001
mouse_strain,C57BL
pvalue,0.5942634
