parameter_id,MGP_IMM_089_001
pvalue,0.8292667
parameter_name,KLRG1+ gd T cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,865va97bgy4n0y0
gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
