parameter_name,Percentage center time
mouse_life_stage,Early adult
analysis_id,1c7816q1035e843
gene_accession_id,MGI:1920638
mouse_strain,C57BL
gene_symbol,Bpifa3
parameter_id,IMPC_OFD_022_001
pvalue,0.1340824
