gene_symbol,Snap23
gene_accession_id,MGI:109356
parameter_id,M-G-P_007_001_010
parameter_name,center - distance
analysis_id,d9ej2vyzs96p052
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
pvalue,0.3247733
