parameter_id,TCPLA_CSD_030_001
analysis_id,02d11hx4z0k0wz8
gene_symbol,Ints7
mouse_life_stage,Early adult
gene_accession_id,MGI:1924315
pvalue,0.8442166
mouse_strain,C57BL
parameter_name,Tremor
