parameter_name,Distance travelled - total
gene_symbol,Ppm1j
mouse_strain,C57BL
gene_accession_id,MGI:1919137
analysis_id,l72266y5wn7j8p3
pvalue,0.5046633
mouse_life_stage,Early adult
parameter_id,JAX_OFD_020_001
