gene_symbol,Hpca
parameter_name,Humerus
analysis_id,ht5d3ly4f7dh6p5
mouse_strain,C57BL
parameter_id,IMPC_XRY_021_001
mouse_life_stage,Early adult
pvalue,0.2573651
gene_accession_id,MGI:1336200
