analysis_id,u1231t649r09khj
mouse_strain,C57BL
pvalue,0.7146592
gene_symbol,Cpa3
parameter_id,HMGULA_CBC_009_001
mouse_life_stage,Early adult
gene_accession_id,MGI:88479
parameter_name,Calcium
