analysis_id,tda581p15l1y9x8
gene_accession_id,MGI:1927232
mouse_strain,C57BL
parameter_name,NK Subsets (Q2)
pvalue,0.169607
parameter_id,IMPC_IMM_055_001
mouse_life_stage,Early adult
gene_symbol,Rab13
