analysis_id,en67y940zq6741s
gene_symbol,Ahcy
gene_accession_id,MGI:87968
mouse_life_stage,E9.5
parameter_name,KLRG1+ Treg cells - % of CD45+
pvalue,0.4862913
parameter_id,MGP_IMM_079_001
mouse_strain,C57BL
