analysis_id,no96q428u4e032r
mouse_strain,C55BL
parameter_id,MGP_PBI_027_001
pvalue,0
gene_symbol,Duoxa2
gene_accession_id,MGI:1914061
mouse_life_stage,Early adult
parameter_name,NK cell number
