parameter_name,Skull shape
parameter_id,CCP_XRY_001_001
mouse_life_stage,Early adult
pvalue,0.5742069
gene_symbol,Lamb3
analysis_id,8s8jvjp2sr6n863
gene_accession_id,MGI:99915
mouse_strain,C57BL
