parameter_name,Thyroxine
pvalue,0.3975385
parameter_id,IMPC_CBC_053_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,4a06139vrz3c893
gene_symbol,Opn3
gene_accession_id,MGI:1338022
