parameter_name,Chloride
mouse_strain,C57BL
parameter_id,HMGULA_CBC_003_001
pvalue,0.99735
analysis_id,ob318ln5fes785m
mouse_life_stage,Early adult
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
