gene_symbol,Pum1
pvalue,0.6562006
parameter_name,Contact righting
mouse_strain,C57BL
parameter_id,JAXLA_CSD_077_001
gene_accession_id,MGI:1931749
analysis_id,5pvt3590514s1c4
mouse_life_stage,Early adult
