parameter_name,B Cells
parameter_id,IMPC_IMM_063_001
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_symbol,Hspa5
gene_accession_id,MGI:95835
analysis_id,d029d2z4hy3oxoz
pvalue,0.8365612
