gene_symbol,Steap3
analysis_id,p42o33wdnme972g
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_FEA_106_001
gene_accession_id,MGI:1915678
pvalue,0.5170985
