parameter_name,Lower teeth appearance
mouse_strain,C57BL
pvalue,0.7795179
parameter_id,IMPC_CSD_070_001
gene_symbol,Secisbp2l
mouse_life_stage,Early adult
gene_accession_id,MGI:1917604
analysis_id,jali8ne38g71677
