analysis_id,1t2bo90534x85h3
gene_symbol,Lpgat1
pvalue,0.3768174
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_094_001
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
gene_accession_id,MGI:2446186
