parameter_name,Eosinophil percentage
gene_accession_id,MGI:1913396
parameter_id,MGP_PBI_020_001
mouse_strain,C57BL
analysis_id,0082i8c0y9u896u
pvalue,0.6593991
mouse_life_stage,Early adult
gene_symbol,Maco1
