gene_symbol,Gpbp1l1
analysis_id,rzn7k77937m7s31
gene_accession_id,MGI:1924360
parameter_id,IMPC_IMM_064_001
parameter_name,B1B Cells
mouse_strain,C57BL
pvalue,0.8133152
mouse_life_stage,Early adult
