analysis_id,y6f909o3h8w5ow5
mouse_strain,C55BL
parameter_name,Lumbar processes
mouse_life_stage,E9.5
pvalue,0.5393574
gene_symbol,Orc2
gene_accession_id,MGI:1328306
parameter_id,IMPC_XRY_065_001
