analysis_id,k52skp9v0z1l69m
mouse_strain,C57BL
gene_accession_id,MGI:1914309
mouse_life_stage,E18.5
parameter_id,JAX_LDT_004_001
parameter_name,Dark side time spent
pvalue,0.6876868
gene_symbol,Ola1
