analysis_id,2099t921gsj9s18
parameter_id,IMPC_IMM_067_001
pvalue,0.05857368
gene_accession_id,MGI:1924054
parameter_name,Follicular B Cells (CD21/35+)
mouse_strain,C57BL
gene_symbol,Kdm4c
mouse_life_stage,Early adult
