gene_symbol,Mms22l
gene_accession_id,MGI:2684980
analysis_id,6vuk1wjp03ys4e2
parameter_id,MGP_IMM_131_001
mouse_life_stage,Early adult
parameter_name,CD103+ CD11b-low cDC - % of CD45+
mouse_strain,C57BL
pvalue,0.3315128
