analysis_id,2jy26rrpy669580
mouse_strain,C57BL
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
mouse_life_stage,Middle aged adult
pvalue,0.2923955
parameter_id,IMPC_IMM_006_001
parameter_name,Others
