parameter_name,Pale yolk sac
parameter_id,IMPC_GEL_017_002
gene_symbol,Bmi1
gene_accession_id,MGI:88174
pvalue,0.7339401
mouse_strain,C57BL
analysis_id,n109cdaf99s7i76
mouse_life_stage,E15.5
