analysis_id,07kqi30b3ezd75z
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Sprr1b
gene_accession_id,MGI:106659
parameter_id,IMPC_XRY_002_001
pvalue,0.4252951
parameter_name,Zygomatic bone
