parameter_name,Center average speed
gene_symbol,Lurap1
mouse_strain,C57BL
analysis_id,b79wiy165y8697t
pvalue,0.2618047
parameter_id,IMPC_OFD_017_001
gene_accession_id,MGI:1915325
mouse_life_stage,Early adult
