analysis_id,0149jee4nku79vo
mouse_strain,C57BL
gene_symbol,Eprs1
gene_accession_id,MGI:97838
parameter_id,HRWLLA_GRS_010_001
pvalue,0.9242534
parameter_name,Forelimb grip strength normalised against body weight
mouse_life_stage,E12.5
