analysis_id,ud5lt58hqvy36js
pvalue,0.3570269
mouse_strain,C57BL
parameter_name,BMC/Body weight
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_007_001
gene_accession_id,MGI:1914672
gene_symbol,Dhdds
