parameter_name,Ventral coat/hair presence
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
pvalue,0.97564
analysis_id,fok8kj7uz180xz6
parameter_id,MGP_CSD_025_001
mouse_strain,C57BL
gene_symbol,Etfdh
