parameter_name,Stroke Volume
mouse_strain,C57BL
parameter_id,IMPC_ECH_003_001
gene_symbol,Sla2
gene_accession_id,MGI:1925049
pvalue,0.7930849
mouse_life_stage,Early adult
analysis_id,d29q2y6o3323l7n
