parameter_name,Body position
gene_symbol,Rap2b
analysis_id,1th56r8914pfi4p
pvalue,0.9380983
gene_accession_id,MGI:1921262
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_008_001_001
