gene_symbol,Arpc5l
parameter_id,JAXLA_OFD_017_001
mouse_strain,C57BL
parameter_name,Center average speed
mouse_life_stage,Early adult
analysis_id,h18xudk582iy073
pvalue,0.08912468
gene_accession_id,MGI:1921442
