analysis_id,u66kbsk4mt0633y
mouse_life_stage,Early adult
pvalue,0.2324427
gene_symbol,Tubb4b
parameter_name,Click-evoked ABR threshold
mouse_strain,C57BL
gene_accession_id,MGI:1915472
parameter_id,IMPC_ABR_002_001
