analysis_id,ao8vlgeh6e9rr47
mouse_life_stage,Early adult
mouse_strain,129SV
pvalue,0.1417047
parameter_id,MGP_PBI_032_001
gene_symbol,Cntfr
parameter_name,CD4+ KLRG1+ alpha beta T cell number
gene_accession_id,MGI:99605
